	Total																										Menos de 101 																										De 101 a 500 																										De 501 a 1.000																										De 1.001 a 2.000 																										De 2.001 a 5.000 																										De 5.001 a 10.000 																										De 10.001 a 20.000 																										De 20.001 a 50.000 																										De 50.001 a 100.000 																										De 100.001 a 500.000 																										Más de 500.000 																										
	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	
20 Gipuzkoa	726.033	727.121	723.576	720.592	719.282	717.832	716.834	715.148	713.818	712.097	709.607	707.263	705.698	701.056	694.944	691.895	688.708	686.513	684.416	682.977	680.069	679.370	677.275	676.439	""	676.208	0	0	0	0	0	0	0	0	0	0	0	0	0	100	91	191	185	85	180	181	183	267	261	261	""	268	5.930	6.368	6.336	6.327	6.332	6.322	6.368	6.398	6.397	6.366	6.363	6.357	6.226	6.544	6.342	6.040	5.823	5.833	5.679	5.550	5.506	5.411	5.431	5.384	""	5.411	6.787	6.261	6.226	6.178	6.175	6.216	6.269	6.301	6.287	6.356	6.274	6.303	6.244	5.653	5.538	5.449	6.428	6.374	7.287	8.274	8.114	8.059	8.137	7.165	""	6.205	18.443	18.393	18.330	16.302	16.276	18.229	18.081	20.044	20.025	19.915	19.889	19.652	21.440	20.946	20.331	19.851	18.558	20.243	18.949	17.737	17.656	17.577	17.664	18.716	""	19.910	30.322	30.389	30.263	32.238	32.295	30.367	30.395	28.254	28.206	33.047	32.733	32.525	35.381	40.024	39.466	38.991	38.688	36.459	36.273	36.024	40.641	40.493	40.312	40.008	""	40.189	86.184	86.043	85.402	84.873	104.738	104.290	103.967	113.648	103.033	87.378	86.857	96.285	90.855	85.199	84.064	83.452	82.753	82.189	81.945	81.347	75.633	75.355	75.034	74.573	""	74.291	195.146	195.337	194.532	193.801	173.287	192.871	192.445	181.570	190.829	200.016	199.018	188.630	188.367	186.979	185.435	184.334	183.511	182.862	182.912	182.756	182.592	182.918	183.032	203.599	""	203.263	132.186	133.180	132.671	132.225	131.954	111.865	111.733	111.612	111.428	111.508	111.282	111.067	110.877	110.449	110.171	110.018	110.324	110.925	111.344	111.790	112.055	112.498	112.699	93.308	""	94.548	62.933	62.910	62.401	61.983	61.855	61.608	61.481	61.195	61.113	61.102	61.006	60.938	60.951	60.914	60.416	60.261	59.508	58.899	58.036	57.618	56.625	56.515	55.497	55.196	""	55.215	188.102	188.240	187.415	186.665	186.370	186.064	186.095	186.126	186.500	186.409	186.185	185.506	185.357	184.248	183.090	183.308	182.930	182.644	181.811	181.700	181.064	180.277	179.208	178.229	""	176.908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
17 Girona	786.596	781.788	771.044	761.947	755.716	753.576	753.054	756.156	761.632	761.627	756.810	753.046	747.782	731.864	706.185	687.331	664.506	636.198	619.692	598.112	579.650	565.599	553.348	543.191	""	530.631	284	372	180	375	378	367	368	373	194	284	96	187	191	83	182	177	272	169	167	358	352	445	439	380	""	401	22.959	24.090	23.693	23.326	23.789	23.267	23.691	22.838	23.135	23.265	23.837	24.084	24.341	24.008	23.254	25.545	25.195	25.144	25.192	25.525	25.568	25.331	25.816	27.484	""	27.180	33.668	31.990	32.184	32.884	32.167	32.674	31.068	32.076	32.023	31.937	30.094	30.298	28.547	27.907	29.088	28.369	30.784	31.357	29.081	28.483	29.169	29.672	29.537	26.376	""	25.211	44.329	42.739	42.326	41.087	38.991	39.010	40.275	40.502	40.965	40.956	42.026	42.592	43.677	43.062	43.799	39.596	35.426	34.123	34.398	32.879	36.116	34.469	35.081	37.865	""	35.708	84.233	87.792	87.002	86.141	87.396	87.380	92.340	92.366	87.841	92.430	91.336	88.301	87.541	95.347	92.900	90.458	92.740	97.576	99.334	96.345	92.565	95.357	99.206	94.501	""	94.233	98.914	92.522	90.952	89.723	88.916	88.510	83.495	93.704	99.193	94.618	93.608	92.845	91.978	90.407	101.210	107.300	108.072	101.314	103.193	98.796	89.957	82.005	69.638	67.547	""	64.670	140.605	139.218	157.311	155.832	154.938	154.253	154.530	145.120	146.288	146.255	145.466	125.536	124.531	131.415	106.509	93.685	80.837	107.600	96.776	94.623	92.242	90.190	107.875	105.432	""	102.781	259.672	259.696	235.544	232.313	230.128	229.860	229.701	231.950	234.701	234.684	233.625	252.967	250.788	225.151	217.057	212.311	204.508	155.384	150.331	143.628	138.425	134.493	113.074	111.748	""	109.871	0	0	0	0	99.013	98.255	97.586	97.227	97.292	97.198	96.722	96.236	96.188	94.484	92.186	89.890	86.672	83.531	81.220	77.475	75.256	73.637	72.682	71.858	""	70.576	101.932	103.369	101.852	100.266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
18 Granada	921.338	919.168	914.678	912.075	912.938	915.392	917.297	919.455	919.319	922.928	924.550	918.072	907.428	901.220	884.099	876.184	860.898	841.687	828.107	818.959	812.637	809.004	813.061	801.177	""	808.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	9.370	9.348	9.496	9.384	9.486	9.208	8.520	9.126	8.743	9.404	9.290	9.149	8.724	8.388	8.403	8.391	8.496	7.975	8.014	7.409	7.624	7.837	7.926	7.986	""	7.708	33.643	33.498	34.617	32.555	30.921	28.858	26.776	24.624	24.490	23.597	24.004	23.886	23.609	23.437	22.493	22.272	23.520	23.971	26.141	25.964	26.271	26.771	23.715	23.844	""	20.027	36.196	35.966	35.084	37.437	41.793	45.413	46.518	48.251	49.365	49.711	50.024	47.827	46.734	47.985	48.877	48.670	47.699	54.778	54.715	55.498	57.668	58.290	59.328	57.562	""	64.011	89.578	89.061	89.028	86.314	84.824	90.498	98.287	97.117	93.097	105.257	105.764	107.412	109.550	114.268	115.017	114.293	113.063	117.415	117.535	116.235	117.860	112.644	107.302	117.059	""	111.876	136.654	135.339	134.304	123.531	122.741	117.378	113.043	113.797	119.088	118.245	117.401	125.441	122.842	115.303	106.878	114.554	110.752	101.380	102.670	120.010	112.071	115.153	124.540	112.217	""	117.639	190.144	188.883	186.994	196.069	195.309	194.245	213.185	214.347	213.047	201.899	181.695	169.547	166.146	161.782	176.166	181.843	175.824	157.383	142.446	118.066	154.413	151.558	112.190	109.438	""	108.337	135.433	134.965	134.673	133.985	134.674	134.666	114.391	113.783	112.477	114.627	135.386	134.772	135.219	133.906	111.557	90.337	87.957	85.415	85.326	83.327	42.577	42.093	82.895	81.575	""	82.499	58.545	58.460	58.020	60.592	60.420	60.368	60.777	60.870	61.194	61.171	60.887	60.884	60.279	59.163	58.501	57.895	56.605	55.078	53.597	51.928	50.812	50.172	50.398	50.025	""	50.316	231.775	233.648	232.462	232.208	232.770	234.758	235.800	237.540	237.818	239.017	240.099	239.154	234.325	236.988	236.207	237.929	236.982	238.292	237.663	240.522	243.341	244.486	244.767	241.471	""	245.640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
19 Guadalajara	265.588	261.995	257.762	254.308	253.310	252.882	253.686	255.426	257.723	259.537	256.461	251.563	246.151	237.787	224.076	213.505	203.737	193.913	185.474	177.761	171.532	165.347	161.669	159.331	""	157.255	8.146	8.355	8.431	8.451	8.605	8.478	8.530	8.605	8.291	8.190	7.812	7.646	7.944	7.715	7.558	7.077	7.434	7.297	7.174	7.669	8.160	8.048	8.031	7.774	""	7.613	14.315	12.639	12.922	12.724	13.677	14.508	14.790	14.895	15.421	17.051	18.441	18.320	17.813	18.451	19.106	19.566	20.302	20.517	22.285	23.161	22.688	23.115	24.140	23.671	""	24.356	4.975	6.763	6.768	6.725	7.304	7.431	8.214	6.319	6.995	7.095	7.215	7.041	7.874	8.305	8.147	8.822	9.103	9.936	7.329	4.823	6.684	6.557	6.980	7.528	""	7.886	17.927	16.274	16.012	15.900	14.999	15.263	15.632	18.104	16.846	17.133	18.665	17.884	16.631	18.806	18.201	18.663	17.339	14.374	15.327	14.544	11.749	14.448	11.783	11.585	""	11.702	40.948	39.203	38.029	37.311	36.801	36.381	36.416	36.560	38.521	38.591	35.850	35.055	33.864	28.330	33.482	28.927	30.795	29.199	34.711	32.189	34.228	27.585	22.184	22.547	""	22.577	20.372	19.938	19.481	19.097	28.741	28.477	27.964	28.008	27.917	27.756	26.844	26.244	25.477	44.165	31.502	28.893	20.948	17.674	5.664	5.092	0	0	0	0	""	0	36.605	35.932	35.239	34.505	24.270	24.008	23.853	23.880	23.831	23.772	22.986	21.849	20.765	0	0	0	0	0	0	0	0	19.491	18.592	17.505	""	16.013	35.236	35.407	35.009	34.685	34.768	34.703	34.896	35.335	35.397	35.146	34.195	33.735	32.744	30.794	28.155	26.064	24.097	23.101	22.252	21.185	20.383	0	0	0	""	0	87.064	87.484	85.871	84.910	84.145	83.633	83.391	83.720	84.504	84.803	84.453	83.789	83.039	81.221	77.925	75.493	73.719	71.815	70.732	69.098	67.640	66.103	69.959	68.721	""	67.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
21 Huelva	525.835	524.278	521.870	519.932	518.930	519.596	520.017	519.229	520.668	522.862	521.968	518.081	513.403	507.915	497.671	492.174	483.792	476.707	472.446	464.934	461.730	458.998	457.507	453.958	""	454.735	53	51	56	57	52	50	54	48	52	65	65	50	52	58	50	44	47	48	50	58	61	62	63	63	""	60	4.904	4.868	4.886	4.858	4.929	4.936	4.313	4.329	4.840	4.618	4.708	5.138	5.109	4.646	5.144	5.082	4.584	4.631	4.687	4.684	4.789	3.892	3.917	4.391	""	4.472	7.323	7.152	7.113	7.131	7.185	7.258	6.805	7.919	6.387	7.162	7.264	6.800	6.880	7.450	6.898	6.794	7.255	7.289	7.418	7.504	6.611	7.647	7.781	7.232	""	6.378	15.803	13.834	13.870	12.760	12.870	13.103	14.219	13.224	16.237	14.812	15.056	17.140	15.193	15.174	15.051	13.080	13.193	15.279	13.301	15.330	16.511	16.673	14.900	14.879	""	16.186	71.982	73.760	73.869	75.078	74.998	75.360	75.507	70.572	73.537	76.790	77.235	74.899	76.942	72.321	76.737	73.214	78.045	75.906	72.773	71.341	72.000	72.516	69.987	69.899	""	65.511	44.660	44.696	44.268	44.134	44.029	43.736	43.797	48.889	43.931	53.497	52.976	52.277	51.620	55.830	49.409	53.562	57.178	56.164	60.718	60.156	59.845	59.623	64.598	74.291	""	79.668	78.595	77.772	96.965	95.883	95.310	95.113	94.785	134.288	114.155	103.657	102.896	101.144	119.475	136.934	133.336	130.307	155.631	151.069	147.445	144.826	160.579	157.600	155.678	143.212	""	141.785	159.977	158.308	137.180	135.773	134.442	134.572	134.219	92.748	113.428	113.693	112.850	111.323	89.326	67.475	64.873	64.328	22.709	21.952	21.223	20.173	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	142.538	143.837	143.663	144.258	145.115	145.468	146.318	147.212	148.101	148.568	148.918	149.310	148.806	148.027	146.173	145.763	145.150	144.369	144.831	140.862	141.334	140.985	140.583	139.991	""	140.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
22 Huesca	224.264	222.687	220.461	219.345	219.702	221.079	222.909	224.909	226.329	227.609	228.361	228.566	228.409	225.271	220.107	218.023	215.864	212.901	211.286	208.963	205.955	205.430	205.429	204.956	""	206.916	2.256	2.579	2.096	2.326	2.061	1.927	1.394	1.618	1.451	1.397	1.047	943	1.121	1.019	949	713	1.019	897	1.011	898	803	1.089	1.082	871	""	800	27.839	25.647	26.746	26.601	27.612	27.223	28.316	28.562	28.600	28.671	29.530	29.343	28.763	29.087	29.624	29.986	29.784	30.046	29.644	29.468	29.485	29.156	29.280	29.947	""	30.837	19.833	20.355	19.751	20.814	20.618	21.913	22.245	18.397	20.135	20.992	20.215	19.738	20.276	20.350	20.501	19.846	18.405	17.730	18.858	18.527	18.624	18.632	18.730	18.315	""	17.603	20.546	20.259	19.935	18.961	18.868	19.223	19.446	23.894	23.152	23.455	24.436	25.486	23.872	23.457	26.050	24.146	27.209	26.801	25.646	26.797	28.320	28.144	26.174	26.109	""	27.325	18.019	17.839	17.766	17.703	17.689	17.716	17.943	18.207	18.421	18.631	18.838	18.811	20.832	20.379	15.850	17.737	15.583	15.457	15.266	15.219	13.247	13.295	15.410	15.475	""	15.666	19.240	18.927	18.799	18.680	18.645	18.743	19.037	19.344	9.468	9.456	9.482	9.407	9.444	9.288	18.721	18.276	17.913	17.641	17.436	17.070	16.627	16.711	16.744	16.752	""	16.889	63.102	63.125	62.236	61.797	61.986	62.052	62.289	62.332	72.684	72.711	72.370	72.491	72.042	70.574	58.593	58.007	57.421	56.406	55.816	54.522	52.975	52.750	52.382	52.002	""	52.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.819	49.312	48.530	47.923	47.609	46.462	45.874	45.653	45.627	45.485	""	45.607	53.429	53.956	53.132	52.463	52.223	52.282	52.239	52.555	52.418	52.296	52.443	52.347	52.059	51.117	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
23 Jaén	627.190	631.381	633.564	638.099	643.484	648.250	654.170	659.033	664.916	670.242	670.600	670.761	669.782	667.438	664.742	662.751	660.284	654.458	651.565	647.387	645.781	645.711	649.662	645.792	""	648.551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	2.145	2.159	2.207	1.690	1.712	1.725	1.767	1.814	1.346	1.393	1.378	864	1.361	1.396	925	1.397	941	975	454	467	939	0	0	0	""	0	11.646	10.776	10.945	11.567	10.791	8.951	9.190	8.249	9.848	10.097	9.215	9.658	8.183	9.122	9.599	8.015	8.612	8.692	9.348	8.394	7.859	10.002	9.155	9.210	""	8.405	28.494	29.850	30.119	30.480	31.985	34.550	35.190	32.525	28.100	26.634	27.665	23.874	26.991	29.924	27.928	27.117	29.070	29.191	27.548	28.872	31.013	29.989	25.447	23.528	""	25.017	97.201	102.716	98.209	104.451	105.441	106.654	108.004	113.105	113.403	117.029	117.210	116.351	114.420	105.773	107.487	104.448	107.029	106.116	113.029	118.293	109.352	104.637	107.215	109.068	""	105.617	83.144	78.383	83.846	79.439	80.259	81.013	81.529	82.113	88.196	89.172	88.983	93.845	93.450	98.453	97.810	101.696	96.981	106.436	101.629	96.059	103.059	108.575	114.968	114.946	""	121.867	119.789	120.391	120.867	121.574	122.300	123.062	123.748	124.488	125.441	126.027	125.800	125.411	125.284	124.528	123.757	122.866	121.930	110.758	109.892	109.485	109.465	109.285	109.757	108.784	""	108.991	116.314	116.996	116.958	117.630	118.309	118.808	119.610	120.612	121.666	122.209	122.458	122.662	122.198	120.485	119.581	118.991	118.374	117.277	115.770	115.096	114.892	114.408	115.151	114.662	""	113.656	56.525	57.353	57.414	57.811	58.449	58.829	59.737	60.290	60.740	60.950	61.110	61.306	61.338	61.340	61.262	61.452	60.807	59.096	58.257	57.800	57.796	58.034	58.722	58.410	""	60.222	111.932	112.757	112.999	113.457	114.238	114.658	115.395	115.837	116.176	116.731	116.781	116.790	116.557	116.417	116.393	116.769	116.540	115.917	115.638	112.921	111.406	110.781	109.247	107.184	""	104.776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
24 León	451.706	456.439	460.001	463.746	468.316	473.604	479.395	484.694	489.752	494.451	497.799	499.284	500.169	500.200	497.387	498.223	495.902	492.720	495.998	496.655	499.517	502.155	506.511	506.365	""	517.191	540	458	385	368	373	283	196	206	210	215	226	232	240	253	246	249	250	165	178	77	79	77	77	80	""	89	28.884	29.257	28.952	29.404	28.458	27.201	27.550	26.434	25.945	24.701	24.253	25.164	24.087	24.160	23.203	22.780	22.697	22.157	21.592	21.488	20.579	21.039	21.019	21.092	""	20.478	33.348	34.525	36.347	34.689	34.938	36.730	39.093	39.166	38.743	41.583	42.331	41.609	43.803	43.318	42.593	44.583	43.787	44.621	44.676	44.229	46.980	44.045	40.194	39.470	""	41.430	40.718	39.707	40.183	42.655	47.363	48.879	44.462	48.927	47.617	48.221	45.717	47.823	48.139	50.431	53.672	53.034	57.134	58.116	61.297	64.159	65.153	70.074	71.996	73.019	""	73.631	58.588	58.916	54.527	55.121	58.789	59.595	64.192	63.387	63.303	63.904	68.513	66.569	66.711	71.712	71.230	71.125	69.097	73.151	73.996	79.554	79.891	75.347	75.271	75.322	""	78.210	34.452	34.775	40.172	40.666	35.999	36.510	37.011	37.231	32.603	32.843	22.713	22.456	22.363	16.950	16.461	16.037	15.531	20.365	10.505	5.632	14.487	19.029	24.043	23.899	""	23.866	39.218	39.715	39.843	40.012	40.168	40.297	40.445	40.684	50.747	51.013	61.232	61.346	60.879	60.071	59.205	58.361	57.158	46.277	56.360	56.424	46.915	47.684	48.450	48.718	""	49.444	30.160	30.549	30.615	30.820	31.123	31.470	31.745	31.741	31.862	31.742	31.562	31.306	30.906	30.217	28.894	28.413	27.850	26.968	26.770	25.288	24.816	24.212	23.687	23.487	""	23.226	63.747	64.509	64.674	65.239	65.788	66.447	66.884	67.367	68.121	68.549	68.508	68.767	68.736	67.969	66.824	66.656	65.984	65.111	64.990	64.010	63.233	62.642	61.965	61.469	""	61.575	122.051	124.028	124.303	124.772	125.317	126.192	127.817	129.551	130.601	131.680	132.744	134.012	134.305	135.119	135.059	136.985	136.414	135.789	135.634	135.794	137.384	138.006	139.809	139.809	""	145.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
25 Lleida	439.727	438.517	434.930	432.866	432.384	434.041	436.029	438.001	440.915	443.032	442.308	439.768	436.402	426.872	414.015	407.496	399.439	385.092	377.639	371.055	365.023	361.590	359.361	357.903	""	356.456	1.016	919	929	1.126	1.040	1.160	874	788	595	815	735	530	624	616	500	480	573	758	843	658	555	556	544	568	""	385	28.633	28.195	27.874	27.906	27.775	28.102	27.725	28.470	28.637	28.411	28.871	29.713	29.205	28.803	28.328	29.745	30.202	28.308	28.069	27.814	27.952	27.687	28.007	28.252	""	28.580	33.468	33.354	32.941	32.886	32.614	33.012	34.183	34.833	33.861	32.789	32.745	32.146	33.797	33.056	34.055	33.074	33.068	34.573	35.233	36.537	37.217	37.463	35.735	36.256	""	35.351	36.860	36.543	39.166	39.261	40.227	40.511	38.784	37.888	40.264	42.723	42.745	44.686	43.521	43.857	43.862	44.303	42.514	44.328	46.320	45.028	45.440	44.988	45.542	44.241	""	44.857	60.817	60.473	58.068	58.087	63.185	58.302	65.479	65.882	61.275	66.767	66.629	64.318	63.986	62.744	58.661	55.799	64.146	61.899	61.099	60.156	62.108	61.422	61.065	60.370	""	59.730	76.998	76.858	75.964	75.327	70.358	75.029	70.370	70.563	75.712	70.752	70.447	69.240	68.650	66.914	64.210	62.392	49.990	43.744	38.005	37.316	41.420	40.514	40.097	39.979	""	39.849	61.855	61.772	61.032	60.417	59.858	59.781	60.072	60.401	60.762	60.941	61.720	61.748	60.700	59.151	57.085	56.026	54.237	51.547	50.035	48.546	37.291	36.766	36.164	36.030	""	35.669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	140.080	140.403	138.956	137.856	137.327	138.144	138.542	139.176	139.809	139.834	138.416	137.387	135.919	131.731	127.314	125.677	124.709	119.935	118.035	115.000	113.040	112.194	112.207	112.207	""	112.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
27 Lugo	326.013	327.946	329.587	331.327	333.634	336.527	339.386	342.748	346.005	348.902	351.530	353.504	355.195	355.549	355.176	356.595	357.625	358.452	360.512	361.782	364.125	365.619	366.934	367.751	""	370.303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	223	215	215	218	219	215	214	211	217	213	224	207	210	221	222	213	230	235	237	233	239	261	271	297	""	310	5.613	4.664	2.758	2.792	2.840	2.910	1.963	2.000	2.071	2.140	2.210	2.222	2.298	2.375	2.444	2.518	2.546	2.627	1.679	1.724	1.791	1.825	1.853	1.881	""	1.956	30.900	32.247	34.726	31.240	31.867	32.594	34.262	32.951	31.633	30.310	29.115	27.596	26.176	26.796	27.231	27.744	28.393	26.957	26.470	23.015	21.481	21.910	20.218	16.474	""	14.869	77.555	77.842	79.010	83.971	85.291	86.721	88.345	91.606	95.164	93.804	97.697	106.035	109.944	111.423	112.994	114.332	116.266	114.560	112.616	118.738	112.417	114.024	117.310	122.800	""	127.898	43.214	43.288	53.301	43.399	53.376	53.458	53.634	43.985	54.249	49.565	49.733	55.022	55.160	54.898	54.635	54.543	54.378	59.197	64.523	64.729	75.264	75.479	75.740	65.859	""	66.660	70.895	71.171	61.301	71.682	62.046	62.361	62.834	73.435	63.910	74.413	74.544	64.787	64.729	64.420	63.797	63.795	63.541	63.450	63.829	63.834	64.032	63.885	44.055	73.820	""	73.436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.007	0	""	0	97.613	98.519	98.276	98.025	97.995	98.268	98.134	98.560	98.761	98.457	98.007	97.635	96.678	95.416	93.853	93.450	92.271	91.426	91.158	89.509	88.901	88.235	87.480	86.620	""	85.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	0	
28 Madrid	6.751.251	6.779.888	6.663.394	6.578.079	6.507.184	6.466.996	6.436.996	6.454.440	6.495.551	6.498.560	6.489.680	6.458.684	6.386.932	6.271.638	6.081.689	6.008.183	5.964.143	5.804.829	5.718.942	5.527.152	5.372.433	5.205.408	5.145.325	5.091.336	""	5.022.289	610	768	734	691	691	712	728	653	590	525	338	523	336	242	248	242	246	247	261	251	711	763	1.145	1.228	""	877	4.593	4.618	4.509	4.415	4.439	4.494	4.628	5.290	5.483	5.609	5.363	5.495	5.668	5.643	7.396	7.306	8.566	9.700	9.287	10.063	9.120	9.344	8.868	8.700	""	9.638	11.994	12.983	12.715	13.369	13.424	13.261	13.240	12.751	12.941	12.841	14.348	14.488	14.153	14.543	15.513	14.083	13.644	12.096	12.440	14.007	15.834	14.609	14.268	15.746	""	14.773	31.565	28.627	29.623	35.897	35.458	35.151	31.158	31.401	29.626	27.367	25.841	23.979	25.327	25.192	31.390	31.502	29.872	36.382	34.865	37.181	37.785	39.905	42.378	38.638	""	39.285	107.697	104.629	100.398	90.181	93.485	92.609	91.352	91.444	98.795	99.881	103.233	106.420	101.989	101.254	93.878	91.241	99.436	97.907	98.199	109.319	119.702	116.735	118.885	121.313	""	120.152	231.006	227.472	222.646	218.539	210.749	228.433	232.914	232.331	227.680	225.768	227.030	227.597	222.007	210.000	217.253	221.594	206.282	198.165	184.784	140.195	114.127	106.417	95.745	99.797	""	84.619	238.217	235.572	231.833	228.235	226.035	224.308	223.382	221.993	221.744	238.587	243.006	223.632	214.606	223.699	200.016	209.733	190.116	178.898	161.646	150.906	131.851	134.116	137.247	130.911	""	123.965	357.694	354.998	348.333	391.729	385.903	460.185	453.576	448.407	445.481	420.249	392.627	386.500	379.144	350.482	416.128	414.047	445.485	403.051	382.806	408.861	433.667	386.794	351.826	363.874	""	345.025	941.890	939.676	925.655	864.561	855.527	750.442	749.825	748.113	746.285	737.827	726.116	714.534	694.796	674.332	642.593	568.783	503.938	483.784	571.178	502.471	533.132	514.396	504.342	442.261	""	434.768	1.520.577	1.535.815	1.520.822	1.507.128	1.498.492	1.491.860	1.494.202	1.496.822	1.499.679	1.496.379	1.486.740	1.482.467	1.472.962	1.452.980	1.324.811	1.321.052	1.311.199	1.284.765	1.170.717	1.137.110	1.019.446	999.469	991.569	987.362	""	982.337	3.305.408	3.334.730	3.266.126	3.223.334	3.182.981	3.165.541	3.141.991	3.165.235	3.207.247	3.233.527	3.265.038	3.273.049	3.255.944	3.213.271	3.132.463	3.128.600	3.155.359	3.099.834	3.092.759	3.016.788	2.957.058	2.882.860	2.879.052	2.881.506	""	2.866.850	
